From	Entry	Entry Name	Protein names	Gene Names	Organism
"SEMA4B	Semaphorin-4B"	Q9NPR2	SEM4B_HUMAN	Semaphorin-4B (Semaphorin-C)	SEMA4B KIAA1745 SEMAC	Homo sapiens (Human)
"CABIN1	Calcineurin-binding protein cabin-1"	Q9Y6J0	CABIN_HUMAN	Calcineurin-binding protein cabin-1 (Calcineurin inhibitor (CAIN))	CABIN1 KIAA0330	Homo sapiens (Human)
"SLC6A9	Fanconi Anemia Core Complex Associated Protein 20"	P48067	SC6A9_HUMAN	Sodium- and chloride-dependent glycine transporter 1 (GlyT-1) (GlyT1) (Solute carrier family 6 member 9)	SLC6A9	Homo sapiens (Human)
"MYEF2	Myelin expression factor 2"	Q9P2K5	MYEF2_HUMAN	Myelin expression factor 2 (MEF-2) (MyEF-2) (MST156)	MYEF2 KIAA1341	Homo sapiens (Human)
"MUC20	Mucin-20"	Q8N307	MUC20_HUMAN	Mucin-20 (MUC-20)	MUC20 KIAA1359	Homo sapiens (Human)
"SAMD11	Sterile alpha motif domain-containing protein 11"	Q96NU1	SAM11_HUMAN	Sterile alpha motif domain-containing protein 11 (SAM domain-containing protein 11)	SAMD11	Homo sapiens (Human)
"CEP250	Centrosome-associated protein CEP250"	Q9BV73	CP250_HUMAN	Centrosome-associated protein CEP250 (250 kDa centrosomal protein (Cep250)) (Centrosomal Nek2-associated protein 1 (C-Nap1)) (Centrosomal protein 2)	CEP250 CEP2 CNAP1	Homo sapiens (Human)
"WDR33	pre-mRNA 3' end processing protein WDR33"	Q9C0J8	WDR33_HUMAN	pre-mRNA 3' end processing protein WDR33 (WD repeat-containing protein 33) (WD repeat-containing protein of 146 kDa)	WDR33 WDC146	Homo sapiens (Human)
"PPP4R1L	Putative serine/threonine-protein phosphatase 4 regulatory subunit 1-like"	Q9P1A2	PP4RL_HUMAN	Putative serine/threonine-protein phosphatase 4 regulatory subunit 1-like	PPP4R1L C20orf192	Homo sapiens (Human)
"SNTG2	Gamma-2-syntrophin"	Q9NY99	SNTG2_HUMAN	Gamma-2-syntrophin (G2SYN) (Syntrophin-5 (SYN5))	SNTG2	Homo sapiens (Human)
"DAP3	28S ribosomal protein S29, mitochondrial"	P51398	RT29_HUMAN	Small ribosomal subunit protein mS29 (EC 3.6.5.-) (28S ribosomal protein S29, mitochondrial (MRP-S29) (S29mt)) (Death-associated protein 3 (DAP-3)) (Ionizing radiation resistance conferring protein)	DAP3 MRPS29	Homo sapiens (Human)
"WNK3	Serine/threonine-protein kinase WNK3"	Q9BYP7	WNK3_HUMAN	Serine/threonine-protein kinase WNK3 (EC 2.7.11.1) (Protein kinase lysine-deficient 3) (Protein kinase with no lysine 3)	WNK3 KIAA1566 PRKWNK3	Homo sapiens (Human)
"EDC3	Enhancer of mRNA-decapping protein 3"	Q96F86	EDC3_HUMAN	Enhancer of mRNA-decapping protein 3 (LSM16 homolog) (YjeF N-terminal domain-containing protein 2 (YjeF_N2) (hYjeF_N2)) (YjeF domain-containing protein 1)	EDC3 LSM16 YJDC YJEFN2	Homo sapiens (Human)
"FAM27E3	Family With Sequence Similarity 27 Member E3"	Q08E93	F27E3_HUMAN	Protein FAM27E3	FAM27E3	Homo sapiens (Human)
"SMG6	Telomerase-binding protein EST1A"	Q86US8	EST1A_HUMAN	Telomerase-binding protein EST1A (EC 3.1.-.-) (Ever shorter telomeres 1A (hEST1A)) (Nonsense mediated mRNA decay factor SMG6) (Smg-6 homolog) (hSmg5/7a)	SMG6 C17orf31 EST1A KIAA0732	Homo sapiens (Human)
