From	Entry	Entry Name	Protein names	Gene Names	Organism
"A8MPP1	Putative ATP-dependent RNA helicase DDX11-like protein 8"	A8MPP1	D11L8_HUMAN	Putative ATP-dependent DNA helicase DDX11-like protein 8 (EC 5.6.2.-) (DEAD/H box protein 11-like 8)	DDX11L8	Homo sapiens (Human)
"Q9Y4X0	AMMECR nuclear protein 1."	Q9Y4X0	AMMR1_HUMAN	Nuclear protein AMMECR1 (AMME syndrome candidate gene 1 protein)	AMMECR1	Homo sapiens (Human)
"P25874	Mitochondrial brown fat uncoupling protein 1"	P25874	UCP1_HUMAN	Mitochondrial brown fat uncoupling protein 1 (UCP 1) (Solute carrier family 25 member 7) (Thermogenin)	UCP1 SLC25A7 UCP	Homo sapiens (Human)
"P07355	AMMECR nuclear protein 1."	P07355	ANXA2_HUMAN	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV (PAP-IV)) (Protein I) (p36)	ANXA2 ANX2 ANX2L4 CAL1H LPC2D	Homo sapiens (Human)
"A6NLP5	Tetratricopeptide repeat domain 36."	A6NLP5	TTC36_HUMAN	Tetratricopeptide repeat protein 36 (TPR repeat protein 36) (HSP70-binding protein 21)	TTC36 HBP21	Homo sapiens (Human)
"O14827	Ras-specific guanine nucleotide-releasing factor 2"	O14827	RGRF2_HUMAN	Ras-specific guanine nucleotide-releasing factor 2 (Ras-GRF2) (Ras guanine nucleotide exchange factor 2)	RASGRF2 GRF2	Homo sapiens (Human)
"Q8TED4	Glucose-6-phosphate exchanger SLC37A2"	Q8TED4	G6PT3_HUMAN	Glucose-6-phosphate exchanger SLC37A2 (Solute carrier family 37 member 2)	SLC37A2	Homo sapiens (Human)
"O15397	Importin-8"	O15397	IPO8_HUMAN	Importin-8 (Imp8) (Ran-binding protein 8 (RanBP8))	IPO8 RANBP8	Homo sapiens (Human)
"Q9H3R0	Lysine-specific demethylase 4C"	Q9H3R0	KDM4C_HUMAN	Lysine-specific demethylase 4C (EC 1.14.11.66) (Gene amplified in squamous cell carcinoma 1 protein (GASC-1 protein)) (JmjC domain-containing histone demethylation protein 3C) (Jumonji domain-containing protein 2C) ([histone H3]-trimethyl-L-lysine(9) demethylase 4C)	KDM4C GASC1 JHDM3C JMJD2C KIAA0780	Homo sapiens (Human)
"Q8TB72	Pumilio homolog 2"	Q8TB72	PUM2_HUMAN	Pumilio homolog 2 (Pumilio-2)	PUM2 KIAA0235 PUMH2	Homo sapiens (Human)
"Q8N3X1	Formin binding protein 4."	Q8N3X1	FNBP4_HUMAN	Formin-binding protein 4 (Formin-binding protein 30)	FNBP4 FBP30 KIAA1014	Homo sapiens (Human)
"Q8N8K9	Uncharacterized protein KIAA1958"	Q8N8K9	K1958_HUMAN	Uncharacterized protein KIAA1958	KIAA1958	Homo sapiens (Human)
"Q13938	Calcyphosin"	Q13938	CAYP1_HUMAN	Calcyphosin (Calcyphosine)	CAPS	Homo sapiens (Human)
"O60304	Zinc finger protein 500"	O60304	ZN500_HUMAN	Zinc finger protein 500 (Zinc finger protein with KRAB and SCAN domains 18)	ZNF500 KIAA0557 ZKSCAN18	Homo sapiens (Human)
