Entry	Entry Name	Gene	Gene Names	Protein names	Reviewed	Ribosomal	RP Gene	RP Nomenclature	RP Subunit	Evidence	N studies	N datasets	Studies	Cell lines	Systems	Datasets	Accessions	Source labels	Caveats	Notes
Q9H3R0	KDM4C_HUMAN	KDM4C	KDM4C GASC1 JHDM3C JMJD2C KIAA0780	Lysine-specific demethylase 4C (Gene amplified in squamous cell carcinoma 1 protein) (JmjC domain-containing histone demethylation protein 3C) (Jumonji domain-containing protein 2C) ([histone H3]-trimethyl-L-lysine(9) demethylase 4C)	yes					in-cell	1	2	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	Q9H3R0	Q9H3R0; Q9H3R0 | Lysine-specific demethylase 4C	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
Q9H3R1	NDST4_HUMAN	NDST4	NDST4 HSST4	N-heparan sulfate sulfotransferase 4	yes					in-cell	1	2	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	Q9H3R1	Q9H3R1; Q9H3R1 | Bifunctional heparan sulfate N-deacetylase/N- sulfotransferase 4	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
Q9H4B7	TBB1_HUMAN	TUBB1	TUBB1	Tubulin beta-1 chain	yes					in-cell	1	2	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	Q9H4B7	Q9H4B7; Q9H4B7 | Tubulin beta-1 chain	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
Q9HCD5	NCOA5_HUMAN	NCOA5	NCOA5 KIAA1637	Nuclear receptor coactivator 5 (Coactivator independent of AF-2)	yes					in-cell	1	2	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	Q9HCD5	Q9HCD5; Q9HCD5 | Nuclear receptor coactivator 5	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
Q9NSD9	SYFB_HUMAN	FARSB	FARSB FARSLB FRSB	Phenylalanine--tRNA ligase beta subunit (Phenylalanyl-tRNA synthetase beta subunit)	yes					in-cell	1	2	Donnellan 2022	OV90 parental; WIL2-NS	in-cell, basal; in-cell, 500 uM MGO 24 h	donnellan-2022-ov90; donnellan-2022-wil2ns	Q9NSD9	Q9NSD9 | Phenylalanine--tRNA ligase beta subunit		
Q9NWB1	RFOX1_HUMAN	RBFOX1	RBFOX1 A2BP A2BP1 FOX1 HRNBP1	RNA binding protein fox-1 homolog 1 (Ataxin-2-binding protein 1) (Fox-1 homolog A) (Hexaribonucleotide-binding protein 1)	yes					in-cell	1	2	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	Q9NWB1	Q9NWB1; Q9NWB1 | RNA binding protein fox-1 homolog 1	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
Q9NWS8	RMND1_HUMAN	RMND1	RMND1 C6orf96	Required for meiotic nuclear division protein 1 homolog	yes					in-cell	1	2	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	Q9NWS8	Q9NWS8; Q9NWS8 | Required for meiotic nuclear division protein 1 homolog	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
Q9NXL9	MCM9_HUMAN	MCM9	MCM9 C6orf61 MCMDC1	DNA helicase MCM9 (DNA 3'-5' helicase MCM9) (Mini-chromosome maintenance deficient domain-containing protein 1) (Minichromosome maintenance 9)	yes					in-cell	1	2	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	Q9NXL9	Q9NXL9; Q9NXL9 | DNA helicase MCM9	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
Q9NYF8	BCLF1_HUMAN	BCLAF1	BCLAF1 BTF KIAA0164	Bcl-2-associated transcription factor 1 (BCLAF1 and THRAP3 family member 1)	yes					in-cell	1	2	Donnellan 2022	Caov3 parental; OV90 parental	in-cell, basal	donnellan-2022-caov3; donnellan-2022-ov90	Q9NYF8	Q9NYF8 | Bcl-2-associated transcription factor 1		
Q9P258	RCC2_HUMAN	RCC2	RCC2 KIAA1470 TD60	Protein RCC2 (RCC1-like protein TD-60) (Telophase disk protein of 60 kDa)	yes					in-cell	1	2	Donnellan 2022	Caov3 parental; OV90 parental	in-cell, basal	donnellan-2022-caov3; donnellan-2022-ov90	Q9P258	Q9P258 | Protein RCC2		
Q9UGP8	SEC63_HUMAN	SEC63	SEC63 DNAJC23 SEC63L	Translocation protein SEC63 homolog (DnaJ homolog subfamily C member 23)	yes					in-cell	1	2	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	Q9UGP8	Q9UGP8; Q9UGP8 | Translocation protein SEC63 homolog	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
Q9UJW0	DCTN4_HUMAN	DCTN4	DCTN4	Dynactin subunit 4 (Dynactin subunit p62)	yes					in-cell	1	2	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	Q9UJW0	Q9UJW0; Q9UJW0 | Dynactin subunit 4	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
Q9Y2F9	BTBD3_HUMAN	BTBD3	BTBD3 KIAA0952	BTB/POZ domain-containing protein 3	yes					in-cell	1	2	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	Q9Y2F9	Q9Y2F9; Q9Y2F9 | BTB/POZ domain-containing protein 3	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
Q9Y2V2	CHSP1_HUMAN	CARHSP1	CARHSP1	Calcium-regulated heat-stable protein 1 (Calcium-regulated heat-stable protein of 24 kDa)	yes					in-cell	1	2	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	Q9Y2V2	Q9Y2V2; Q9Y2V2 | Calcium-regulated heat-stable protein 1	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
Q9Y4X0	AMMR1_HUMAN	AMMECR1	AMMECR1	Nuclear protein AMMECR1 (AMME syndrome candidate gene 1 protein)	yes					in-cell	1	2	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	Q9Y4X0	Q9Y4X0; Q9Y4X0 | AMMECR nuclear protein 1.	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P05388	RLA0_HUMAN	RPLP0	RPLP0	Large ribosomal subunit protein uL10 (60S acidic ribosomal protein P0) (60S ribosomal protein L10E)	yes	yes	RPLP0	uL10	60S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P05388	60S acidic ribosomal protein P0 | RPLP0		
P08708	RS17_HUMAN	RPS17	RPS17 RPS17L	Small ribosomal subunit protein eS17 (40S ribosomal protein S17)	yes	yes	RPS17	eS17	40S	cell-free	1	1	Ashour 2020	PDLF primary	cell-free lysate + MG	ashour-2020-cellfree	P08708	RS17_HUMAN | 40S ribosomal protein S17		
P18124	RL7_HUMAN	RPL7	RPL7	Large ribosomal subunit protein uL30 (60S ribosomal protein L7)	yes	yes	RPL7	uL30	60S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P18124	60S ribosomal protein L7 | RPL7		
P23396	RS3_HUMAN	RPS3	RPS3	Small ribosomal subunit protein uS3 (40S ribosomal protein S3)	yes	yes	RPS3	uS3	40S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P23396	40S ribosomal protein S3 | RPS3		
P27635	RL10_HUMAN	RPL10	RPL10 DXS648E QM	Large ribosomal subunit protein uL16 (60S ribosomal protein L10) (Laminin receptor homolog) (Protein QM) (Ribosomal protein L10) (Tumor suppressor QM)	yes	yes	RPL10	uL16	60S	in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	F8W7C6	F8W7C6 | 60S ribosomal protein L10		
P30050	RL12_HUMAN	RPL12	RPL12	Large ribosomal subunit protein uL11 (60S ribosomal protein L12)	yes	yes	RPL12	uL11	60S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P30050	60S ribosomal protein L12 | RPL12		
P35268	RL22_HUMAN	RPL22	RPL22	Large ribosomal subunit protein eL22 (60S ribosomal protein L22) (EBER-associated protein) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15)	yes	yes	RPL22	eL22	60S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P35268	60S ribosomal protein L22 | RPL22		
P36578	RL4_HUMAN	RPL4	RPL4 RPL1	Large ribosomal subunit protein uL4 (60S ribosomal protein L1) (60S ribosomal protein L4)	yes	yes	RPL4	uL4	60S	in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P36578	P36578 | 60S ribosomal protein L4		
P40429	RL13A_HUMAN	RPL13A	RPL13A	Large ribosomal subunit protein uL13 (23 kDa highly basic protein) (60S ribosomal protein L13a)	yes	yes	RPL13A	uL13	60S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P40429	60S ribosomal protein L13a | RPL13A		
P42677	RS27_HUMAN	RPS27	RPS27 MPS1	Small ribosomal subunit protein eS27 (40S ribosomal protein S27) (Metallopan-stimulin 1)	yes	yes	RPS27	eS27	40S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P42677	40S ribosomal protein S27 | RPS27		
P46776	RL27A_HUMAN	RPL27A	RPL27A	Large ribosomal subunit protein uL15 (60S ribosomal protein L27a)	yes	yes	RPL27A	uL15	60S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P46776	60S Ribosomal protein L27a | RPL27A		
P46777	RL5_HUMAN	RPL5	RPL5	Large ribosomal subunit protein uL18 (60S ribosomal protein L5)	yes	yes	RPL5	uL18	60S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P46777	Ribosomal protein L5 | RPL5		
