Entry	Entry Name	Gene	Gene Names	Protein names	Reviewed	Ribosomal	RP Gene	RP Nomenclature	RP Subunit	Evidence	N studies	N datasets	Studies	Cell lines	Systems	Datasets	Accessions	Source labels	Caveats	Notes
P13639	EF2_HUMAN	EEF2	EEF2 EF2	Elongation factor 2	yes					both	5	6	Alhujaily 2021; Ashour 2020; Donnellan 2022; Irshad 2019; Zheng 2024	HEK293; PDLF primary; WIL2-NS; HMEC-1; SH-SY5Y	in-cell, 131 uM MG 6 h; cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	alhujaily-2021-hek293; ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1; zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	P13639	EEF2 | Elongation factor 2; EF2_HUMAN | Elongation factor 2; P13639 | Elongation factor 2; Elongation factor 2 | EEF2; P13639	alhujaily-2021-hek293: supplement covers ~21% of the 681 reported; zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P00338	LDHA_HUMAN	LDHA	LDHA	L-lactate dehydrogenase A chain (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (Renal carcinoma antigen NY-REN-59)	yes					both	5	5	Alhujaily 2021; Ashour 2020; Donnellan 2022; Irshad 2019; Zheng 2024	HEK293; PDLF primary; WIL2-NS; HMEC-1; SH-SY5Y	in-cell, 131 uM MG 6 h; cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	alhujaily-2021-hek293; ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1; zheng-2024-shsy5y-fig4	P00338	LDHA | L-lactate dehydrogenase A chain; LDHA_HUMAN | L-lactate dehydrogenase A; P00338 | L-lactate dehydrogenase A chain; L-lactate dehydrogenase A chain | LDHA; LDHA	alhujaily-2021-hek293: supplement covers ~21% of the 681 reported; zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P11142	HSP7C_HUMAN	HSPA8	HSPA8 HSC70 HSP73 HSPA10	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8) (Heat shock protein family A member 8) (Lipopolysaccharide-associated protein 1)	yes					both	5	5	Alhujaily 2021; Ashour 2020; Donnellan 2022; Irshad 2019; Zheng 2024	HEK293; PDLF primary; WIL2-NS; HMEC-1; SH-SY5Y	in-cell, 131 uM MG 6 h; cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	alhujaily-2021-hek293; ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1; zheng-2024-shsy5y-fig4	P11142; E9PM13	HSPA8 | Heat shock protein family A member 8; HSP7C_HUMAN | Heat shock cognate 71 kDa protein; E9PM13 | Heat shock cognate 71 kDa protein (Fragment); P11142 | Heat shock cognate 71 kDa protein; Heat shock cognate 71 kDa protein | HSPA8; HSPA8	alhujaily-2021-hek293: supplement covers ~21% of the 681 reported; zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P60709	ACTB_HUMAN	ACTB	ACTB	Actin, cytoplasmic 1 (Beta-actin)	yes					both	4	6	Ashour 2020; Donnellan 2022; Irshad 2019; Zheng 2024	PDLF primary; PBL, 3 donors; WIL2-NS; HMEC-1; SH-SY5Y	in-cell, endogenous; ex vivo, basal; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	ashour-2020-incell; donnellan-2022-pbl; donnellan-2022-wil2ns; irshad-2019-hmec1; zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	P60709; A0A2R8Y793	beta-actin | ACTB; A0A2R8Y793 | Actin, cytoplasmic 1 (Fragment); P60709 | Actin, cytoplasmic 1; β-Actin | ACTB; P60709; P60709 | Actin, cytoplasmic 1, N-terminally processed	ashour-2020-incell: from main-text prose; donnellan-2022-pbl: primary cells, ex vivo; zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P63261	ACTG_HUMAN	ACTG1	ACTG1 ACTG	Actin, cytoplasmic 2 (Gamma-actin)	yes					both	4	6	Ashour 2020; Donnellan 2022; Irshad 2019; Zheng 2024	PDLF primary; WIL2-NS; HMEC-1; SH-SY5Y	cell-free lysate + MG; in-cell, endogenous; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	ashour-2020-cellfree; ashour-2020-incell; donnellan-2022-wil2ns; irshad-2019-hmec1; zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	P63261; K7EM38	ACTG_HUMAN | Actin, cytoplasmic 2; gamma-actin | ACTG1; K7EM38 | Actin, cytoplasmic 2 (Fragment); Actin, cytoplasmic 2 | ACTG1; P63261; P63261 | Actin, cytoplasmic 2, N-terminally processed	ashour-2020-incell: from main-text prose; zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P04406	G3P_HUMAN	GAPDH	GAPDH GAPD	Glyceraldehyde-3-phosphate dehydrogenase (Peptidyl-cysteine S-nitrosylase GAPDH)	yes					both	4	5	Ashour 2020; Donnellan 2022; Irshad 2019; Zheng 2024	PDLF primary; Caov3 parental; WIL2-NS; HMEC-1; SH-SY5Y	cell-free lysate + MG; in-cell, basal; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	ashour-2020-cellfree; donnellan-2022-caov3; donnellan-2022-wil2ns; irshad-2019-hmec1; zheng-2024-shsy5y-fig4	P04406	G3P_HUMAN | Glyceraldehyde-3-phosphate dehydrogenase; P04406 | Glyceraldehyde-3-phosphate dehydrogenase; Glyceraldehyde-3-phosphate dehydrogenase | G3P; GAPDH	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P08670	VIME_HUMAN	VIM	VIM	Vimentin	yes					both	4	5	Ashour 2020; Donnellan 2022; Irshad 2019; Zheng 2024	PDLF primary; WIL2-NS; HMEC-1; SH-SY5Y	cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1; zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	P08670	VIME_HUMAN | Vimentin; P08670 | Vimentin; Vimentin | VIM; P08670	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P14618	KPYM_HUMAN	PKM	PKM OIP3 PK2 PK3 PKM2	Pyruvate kinase PKM (Cytosolic thyroid hormone-binding protein) (Opa-interacting protein 3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Threonine-protein kinase PKM2) (Thyroid hormone-binding protein 1) (Tumor M2-PK) (Tyrosine-protein kinase PKM2) (p58)	yes					both	4	4	Ashour 2020; Donnellan 2022; Irshad 2019; Zheng 2024	PDLF primary; WIL2-NS; HMEC-1; SH-SY5Y	cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1; zheng-2024-shsy5y-fig4	P14618	KPYM_HUMAN | Pyruvate kinase PKM; P14618 | Isoform M1 of Pyruvate kinase PKM; P14618 | Pyruvate kinase PKM; Pyruvate kinase-M | PKM; PKM	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P26038	MOES_HUMAN	MSN	MSN	Moesin (Membrane-organizing extension spike protein)	yes					both	4	4	Ashour 2020; Donnellan 2022; Irshad 2019; Zheng 2024	PDLF primary; WIL2-NS; HMEC-1; SH-SY5Y	cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1; zheng-2024-shsy5y-fig4	P26038	MOES_HUMAN | Moesin; P26038 | Moesin; Moesin | MOES; MSN	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P04075	ALDOA_HUMAN	ALDOA	ALDOA ALDA	Fructose-bisphosphate aldolase A (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	yes					both	3	5	Ashour 2020; Donnellan 2022; Irshad 2019	PDLF primary; Caov3 parental; PBL, 3 donors; WIL2-NS; HMEC-1	cell-free lysate + MG; in-cell, basal; ex vivo, basal; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG	ashour-2020-cellfree; donnellan-2022-caov3; donnellan-2022-pbl; donnellan-2022-wil2ns; irshad-2019-hmec1	P04075	ALDOA_HUMAN | Fructose-bisphosphate aldolase A; P04075 | Fructose-bisphosphate aldolase A; P04075 | Isoform 2 of Fructose-bisphosphate aldolase A; Fructose-bisphosphate aldolase A | ALDOA	donnellan-2022-pbl: primary cells, ex vivo	
P06753	TPM3_HUMAN	TPM3	TPM3	Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3) (Tropomyosin-5)	yes					both	3	5	Ashour 2020; Donnellan 2022; Irshad 2019	PDLF primary; Caov3 parental; OV90 parental; WIL2-NS; HMEC-1	cell-free lysate + MG; in-cell, basal; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG	ashour-2020-cellfree; donnellan-2022-caov3; donnellan-2022-ov90; donnellan-2022-wil2ns; irshad-2019-hmec1	P06753	TPM3_HUMAN | Isoform 2 of Tropomyosin alpha-3 chain; P06753 | Isoform 4 of Tropomyosin alpha-3 chain; P06753 | Isoform 5 of Tropomyosin alpha-3 chain; Tropomyosin α3 chain | TPM3		
P08238	HS90B_HUMAN	HSP90AB1	HSP90AB1 HSP90B HSPC2 HSPC3 HSPCB	Heat shock protein HSP 90-beta (Heat shock 84 kDa) (Heat shock protein family C member 3)	yes					both	3	5	Ashour 2020; Donnellan 2022; Irshad 2019	PDLF primary; Caov3 parental; OV90 parental; WIL2-NS; HMEC-1	cell-free lysate + MG; in-cell, basal; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG	ashour-2020-cellfree; donnellan-2022-caov3; donnellan-2022-ov90; donnellan-2022-wil2ns; irshad-2019-hmec1	P08238	HS90B_HUMAN | Heat shock protein HSP 90- beta; P08238 | Heat shock protein HSP 90-beta; Heat shock protein HSP 90-beta | HSP90AB1		
P68371	TBB4B_HUMAN	TUBB4B	TUBB4B TUBB2C	Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain)	yes					both	3	5	Donnellan 2022; Irshad 2019; Zheng 2024	OV90 parental; WIL2-NS; HMEC-1; SH-SY5Y	in-cell, basal; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	donnellan-2022-ov90; donnellan-2022-wil2ns; irshad-2019-hmec1; zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	P68371	P68371 | Tubulin beta-4B chain; Tubulin beta-4B chain | TUBB4B; P68371	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P00558	PGK1_HUMAN	PGK1	PGK1 PGKA	Phosphoglycerate kinase 1 (Cell migration-inducing gene 10 protein) (Primer recognition protein 2)	yes					both	3	4	Ashour 2020; Donnellan 2022; Irshad 2019	PDLF primary; OV90 parental; WIL2-NS; HMEC-1	cell-free lysate + MG; in-cell, basal; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG	ashour-2020-cellfree; donnellan-2022-ov90; donnellan-2022-wil2ns; irshad-2019-hmec1	P00558	PGK1_HUMAN | Phosphoglycerate kinase 1; P00558 | Phosphoglycerate kinase 1; Phosphoglycerate kinase 1 | PGK1		
P07355	ANXA2_HUMAN	ANXA2	ANXA2 ANX2 ANX2L4 CAL1H LPC2D	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (Protein I) (p36)	yes					both	3	4	Ashour 2020; Irshad 2019; Zheng 2024	PDLF primary; HMEC-1; SH-SY5Y	cell-free lysate + MG; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	ashour-2020-cellfree; irshad-2019-hmec1; zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	P07355	ANXA2_HUMAN | Annexin A2; Annexin A2 | ANXA2; P07355; P07355 | AMMECR nuclear protein 1.	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P07900	HS90A_HUMAN	HSP90AA1	HSP90AA1 HSP90A HSPC1 HSPCA	Heat shock protein HSP 90-alpha (Heat shock 86 kDa) (Heat shock protein family C member 1) (Lipopolysaccharide-associated protein 2) (Renal carcinoma antigen NY-REN-38)	yes					both	3	4	Ashour 2020; Donnellan 2022; Irshad 2019	PDLF primary; Caov3 parental; WIL2-NS; HMEC-1	cell-free lysate + MG; in-cell, basal; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG	ashour-2020-cellfree; donnellan-2022-caov3; donnellan-2022-wil2ns; irshad-2019-hmec1	P07900	HS90A_HUMAN | Heat shock protein HSP 90- alpha; P07900 | Heat shock protein HSP 90-alpha; Heat shock protein HSP 90-alpha | HSP90AA1		
P48643	TCPE_HUMAN	CCT5	CCT5 CCTE KIAA0098	T-complex protein 1 subunit epsilon (CCT-epsilon) (Chaperonin containing T-complex polypeptide 1 subunit 5)	yes					both	3	4	Donnellan 2022; Irshad 2019; Zheng 2024	WIL2-NS; HMEC-1; SH-SY5Y	in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	donnellan-2022-wil2ns; irshad-2019-hmec1; zheng-2024-shsy5y-fig4; zheng-2024-shsy5y	P48643	P48643 | T-complex protein 1 subunit epsilon; T-complex protein 1 subunit epsilon | TPCE; P48643	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P62258	1433E_HUMAN	YWHAE	YWHAE	14-3-3 protein epsilon	yes					both	3	4	Ashour 2020; Donnellan 2022; Irshad 2019	PDLF primary; PBL, 3 donors; WIL2-NS; HMEC-1	cell-free lysate + MG; ex vivo, basal; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG	ashour-2020-cellfree; donnellan-2022-pbl; donnellan-2022-wil2ns; irshad-2019-hmec1	P62258	1433E_HUMAN | 14-3-3 protein epsilon; P62258 | 14-3-3 protein epsilon; 14-3-3 protein epsilon | 1433E	donnellan-2022-pbl: primary cells, ex vivo	
P63104	1433Z_HUMAN	YWHAZ	YWHAZ	14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1)	yes					both	3	4	Ashour 2020; Donnellan 2022; Irshad 2019	PDLF primary; OV90 parental; WIL2-NS; HMEC-1	cell-free lysate + MG; in-cell, basal; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG	ashour-2020-cellfree; donnellan-2022-ov90; donnellan-2022-wil2ns; irshad-2019-hmec1	P63104	1433Z_HUMAN | 14-3-3 protein zeta/delta; P63104 | 14-3-3 protein zeta/delta; 14-3-3 protein zeta | 1433Z		
P68104	EF1A1_HUMAN	EEF1A1	EEF1A1 EEF1A EF1A LENG7	Elongation factor 1-alpha 1 (Elongation factor Tu) (Eukaryotic elongation factor 1 A-1) (Leukocyte receptor cluster member 7)	yes					both	3	4	Ashour 2020; Donnellan 2022; Zheng 2024	PDLF primary; Caov3 parental; WIL2-NS; SH-SY5Y	cell-free lysate + MG; in-cell, basal; in-cell, 500 uM MGO 24 h; in-cell, 0-1000 uM MGO	ashour-2020-cellfree; donnellan-2022-caov3; donnellan-2022-wil2ns; zheng-2024-shsy5y-fig4	P68104	EF1A1_HUMAN | Elongation factor 1-alpha 1; P68104 | Elongation factor 1-alpha 1; EEF1A1	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
Q14315	FLNC_HUMAN	FLNC	FLNC ABPL FLN2	Filamin-C (ABP-280-like protein) (ABP-L) (Actin-binding-like protein) (Filamin-2) (Gamma-filamin)	yes					both	3	4	Ashour 2020; Donnellan 2022; Irshad 2019	PDLF primary; Caov3 parental; OV90 parental; HMEC-1	cell-free lysate + MG; in-cell, basal; cell-free lysate + 500 uM MG	ashour-2020-cellfree; donnellan-2022-caov3; donnellan-2022-ov90; irshad-2019-hmec1	Q14315	FLNC_HUMAN | Filamin-C; Q14315 | Filamin-C; Filamin-C | FLNC		
Q9Y490	TLN1_HUMAN	TLN1	TLN1 KIAA1027 TLN	Talin-1	yes					both	3	4	Ashour 2020; Donnellan 2022; Zheng 2024	PDLF primary; Caov3 parental; OV90 parental; SH-SY5Y	cell-free lysate + MG; in-cell, basal; in-cell, 0-1000 uM MGO	ashour-2020-cellfree; donnellan-2022-caov3; donnellan-2022-ov90; zheng-2024-shsy5y-fig4	Q9Y490	TLN1_HUMAN | Talin-1; Q9Y490 | Talin-1; TLN1	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
O60506	HNRPQ_HUMAN	SYNCRIP	SYNCRIP HNRPQ NSAP1	Heterogeneous nuclear ribonucleoprotein Q (Glycine- and tyrosine-rich RNA-binding protein) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)	yes					both	3	3	Ashour 2020; Donnellan 2022; Irshad 2019	PDLF primary; WIL2-NS; HMEC-1	cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG	ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1	O60506	HNRPQ_HUMAN | Heterogeneous nuclear ribonucleoprotein Q; O60506 | Heterogeneous nuclear ribonucleoprotein Q; Heterogeneous nuclear ribonucleoprotein Q | SYNCRIP		
P06733	ENOA_HUMAN	ENO1	ENO1 ENO1L1 MBPB1 MPB1	Alpha-enolase (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	yes					both	3	3	Ashour 2020; Donnellan 2022; Irshad 2019	PDLF primary; WIL2-NS; HMEC-1	cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG	ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1	P06733	ENOA_HUMAN | Alpha-enolase; P06733 | Alpha-enolase; α-Enolase | ENO1		
P06744	G6PI_HUMAN	GPI	GPI	Glucose-6-phosphate isomerase (Autocrine motility factor) (D-hexose-6-phosphate anomerase) (Glucose-6-phosphate C2-epimerase) (Neuroleukin) (Phosphoglucose isomerase) (Phosphohexose isomerase) (Sperm antigen 36)	yes					both	3	3	Ashour 2020; Donnellan 2022; Irshad 2019	PDLF primary; WIL2-NS; HMEC-1	cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG	ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1	P06744	G6PI_HUMAN | Glucose-6-phosphate isomerase (Fragment); P06744 | Glucose-6-phosphate isomerase; Glucose-6-phosphate isomerase | G6PI		
P09382	LEG1_HUMAN	LGALS1	LGALS1	Galectin-1 (14 kDa laminin-binding protein) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (HBL) (HPL) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (Putative MAPK-activating protein PM12) (S-Lac lectin 1)	yes					both	3	3	Ashour 2020; Irshad 2019; Zheng 2024	PDLF primary; HMEC-1; SH-SY5Y	cell-free lysate + MG; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	ashour-2020-cellfree; irshad-2019-hmec1; zheng-2024-shsy5y-fig4	P09382	LEG1_HUMAN | Galectin-1; Galectin-1 | LGALS1; LGALS1	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P12956	XRCC6_HUMAN	XRCC6	XRCC6 G22P1	DNA repair protein Ku70 (5'-deoxyribose-5-phosphate lyase Ku70) (70 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 1) (ATP-dependent DNA helicase II 70 kDa subunit) (CTC box-binding factor 75 kDa subunit) (DNA repair protein XRCC6) (Lupus Ku autoantigen protein p70) (Thyroid-lupus autoantigen) (X-ray repair complementing defective repair in Chinese hamster cells 6) (X-ray repair cross-complementing protein 6)	yes					both	3	3	Ashour 2020; Donnellan 2022; Irshad 2019	PDLF primary; WIL2-NS; HMEC-1	cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG	ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1	P12956	XRCC6_HUMAN | X-ray repair cross- complementing protein 6; P12956 | X-ray repair cross-complementing protein 6; Thyroid autoantigen 70kDa | XRCC6		
P14625	ENPL_HUMAN	HSP90B1	HSP90B1 GRP94 HSPC4 TRA1	Endoplasmin (94 kDa glucose-regulated protein) (Heat shock protein 90 kDa beta member 1) (Heat shock protein family C member 4) (Tumor rejection antigen 1) (gp96 homolog)	yes					both	3	3	Ashour 2020; Donnellan 2022; Irshad 2019	PDLF primary; WIL2-NS; HMEC-1	cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG	ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1	P14625	ENPL_HUMAN | Endoplasmin; P14625 | Endoplasmin; Endoplasmin | HSP90B1		
P18206	VINC_HUMAN	VCL	VCL	Vinculin (Metavinculin)	yes					both	3	3	Ashour 2020; Donnellan 2022; Irshad 2019	PDLF primary; WIL2-NS; HMEC-1	cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG	ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1	P18206	VINC_HUMAN | Vinculin; P18206 | Isoform 1 of Vinculin; Vinculin | VINC		
P19338	NUCL_HUMAN	NCL	NCL	Nucleolin (Protein C23)	yes					both	3	3	Ashour 2020; Donnellan 2022; Irshad 2019	PDLF primary; WIL2-NS; HMEC-1	cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG	ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1	P19338; H7BY16	NUCL_HUMAN | Nucleolin; H7BY16 | Nucleolin (Fragment); P19338 | Nucleolin; Nucleolin | NCL		
P22234	PUR6_HUMAN	PAICS	PAICS ADE2 AIRC PAIS	Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase	yes					both	3	3	Ashour 2020; Irshad 2019; Zheng 2024	PDLF primary; HMEC-1; SH-SY5Y	cell-free lysate + MG; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	ashour-2020-cellfree; irshad-2019-hmec1; zheng-2024-shsy5y-fig4	P22234	PUR6_HUMAN | Multifunctional protein ADE2 (Fragment); Multifunctional protein ADE2 | PAICS; PAICS	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P37837	TALDO_HUMAN	TALDO1	TALDO1 TAL TALDO TALDOR	Transaldolase	yes					both	3	3	Ashour 2020; Donnellan 2022; Irshad 2019	PDLF primary; WIL2-NS; HMEC-1	cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG	ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1	P37837	TALDO_HUMAN | Transaldolase; P37837 | Transaldolase; Transaldolase | TALDO		
P38646	HSPA9_HUMAN	HSPA9	HSPA9 GRP75 HSPA9B mt-HSP70	Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (Heat shock 70 kDa protein 9) (Heat shock protein family A member 9) (Mortalin) (Peptide-binding protein 74)	yes					both	3	3	Ashour 2020; Donnellan 2022; Irshad 2019	PDLF primary; WIL2-NS; HMEC-1	cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG	ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1	P38646	GRP75_HUMAN | Stress-70 protein, mitochondrial; P38646 | Stress-70 protein, mitochondrial; Stress-70 protein, mitochondrial | HSPA9		
P50990	TCPQ_HUMAN	CCT8	CCT8 C21orf112 CCTQ KIAA0002	T-complex protein 1 subunit theta (CCT-theta) (Chaperonin containing T-complex polypeptide 1 subunit 8) (Renal carcinoma antigen NY-REN-15)	yes					both	3	3	Donnellan 2022; Irshad 2019; Zheng 2024	WIL2-NS; HMEC-1; SH-SY5Y	in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG; in-cell, 0-1000 uM MGO	donnellan-2022-wil2ns; irshad-2019-hmec1; zheng-2024-shsy5y-fig4	P50990	P50990 | T-complex protein 1 subunit theta; T-complex protein 1 subunit theta | TPCQ; CCT8	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P52565	GDIR1_HUMAN	ARHGDIA	ARHGDIA GDIA1	Rho GDP-dissociation inhibitor 1 (Rho-GDI alpha)	yes					both	3	3	Ashour 2020; Donnellan 2022; Irshad 2019	PDLF primary; WIL2-NS; HMEC-1	cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG	ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1	P52565	GDIR1_HUMAN | Rho GDP-dissociation inhibitor 1; P52565 | Rho GDP-dissociation inhibitor 1; Rho GDP-dissociation inhibitor 1 | ARHGD1A		
P61604	CH10_HUMAN	HSPE1	HSPE1	10 kDa heat shock protein, mitochondrial (10 kDa chaperonin) (Chaperonin 10) (Early-pregnancy factor) (Heat shock protein family E member 1)	yes					both	3	3	Ashour 2020; Donnellan 2022; Irshad 2019	PDLF primary; WIL2-NS; HMEC-1	cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG	ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1	P61604	CH10_HUMAN | 10 kDa heat shock protein, mitochondrial; P61604 | 10 kDa heat shock protein, mitochondrial; 10 kDa heat shock protein, mitochondrial | HSPE1		
P61978	HNRPK_HUMAN	HNRNPK	HNRNPK HNRPK	Heterogeneous nuclear ribonucleoprotein K (Transformation up-regulated nuclear protein)	yes					both	3	3	Alhujaily 2021; Donnellan 2022; Irshad 2019	HEK293; WIL2-NS; HMEC-1	in-cell, 131 uM MG 6 h; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG	alhujaily-2021-hek293; donnellan-2022-wil2ns; irshad-2019-hmec1	P61978	HNRNPK | Heterogeneous nuclear ribonucleoprotein K; P61978 | Isoform 3 of Heterogeneous nuclear ribonucleoprotein K; Heterogeneous nuclear ribonucleoprotein K | HNRPK	alhujaily-2021-hek293: supplement covers ~21% of the 681 reported	
P62937	PPIA_HUMAN	PPIA	PPIA CYPA	Peptidyl-prolyl cis-trans isomerase A (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A)	yes					both	3	3	Ashour 2020; Donnellan 2022; Irshad 2019	PDLF primary; WIL2-NS; HMEC-1	cell-free lysate + MG; in-cell, 500 uM MGO 24 h; cell-free lysate + 500 uM MG	ashour-2020-cellfree; donnellan-2022-wil2ns; irshad-2019-hmec1	P62937	PPIA_HUMAN | Peptidyl-prolyl cis-trans isomerase A; P62937 | Isoform 2 of Peptidyl-prolyl cis-trans isomerase A; P62937 | Peptidyl-prolyl cis-trans isomerase A; Peptidyl-prolyl cis-trans isomerase A | PPIA		
