From	Assigned by user	Assigned by user	Status	Notes
"A6NML8	Diaphanous homolog 2 (Drosophila), isoform CRA_c"	O60879	DIAP2_HUMAN	reviewed	
"A0A087WUQ6	Glutathione peroxidase"	P07203	GPX1_HUMAN	reviewed	
"F8WAN9	GMP reductase"	Q9P2T1	GMPR2_HUMAN	reviewed	
