From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
"P06753	Isoform 4 of Tropomyosin alpha-3 chain"	P06753	TPM3_HUMAN	Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3) (Tropomyosin-5 (hTM5))	TPM3	Homo sapiens (Human)	auto	
"Q8WXA3	Isoform 5 of RUN and FYVE domain-containing protein 2"	Q8WXA3	RUFY2_HUMAN	RUN and FYVE domain-containing protein 2 (Rab4-interacting protein related)	RUFY2 KIAA1537 RABIP4R	Homo sapiens (Human)	auto	
"Q7Z406	Isoform 6 of Myosin-14"	Q7Z406	MYH14_HUMAN	Myosin-14 (Myosin heavy chain 14) (Myosin heavy chain, non-muscle IIc) (Non-muscle myosin heavy chain IIc (NMHC II-C))	MYH14 KIAA2034	Homo sapiens (Human)	auto	
"Q15149	Isoform 8 of Plectin"	Q15149	PLEC_HUMAN	Plectin (PCN) (PLTN) (Hemidesmosomal protein 1 (HD1)) (Plectin-1)	PLEC PLEC1	Homo sapiens (Human)	auto	
"P05783	Keratin, type I cytoskeletal 18"	P05783	K1C18_HUMAN	Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18 (CK-18)) (Keratin-18 (K18))	KRT18 CYK18	Homo sapiens (Human)	auto	
"P02538	Keratin, type II cytoskeletal 6A"	P02538	K2C6A_HUMAN	Keratin, type II cytoskeletal 6A (Cytokeratin-6A (CK-6A)) (Cytokeratin-6D (CK-6D)) (Keratin-6A (K6A)) (Type-II keratin Kb6)	KRT6A K6A KRT6D	Homo sapiens (Human)	auto	
"Q03252	Lamin-B2"	Q03252	LMNB2_HUMAN	Lamin-B2	LMNB2 LMN2	Homo sapiens (Human)	auto	
"G3V5T0	Maleylacetoacetate isomerase"	G3V5T0	G3V5T0_HUMAN	maleylacetoacetate isomerase (EC 5.2.1.2)	GSTZ1	Homo sapiens (Human)	auto	
"Q5JXX2	Mortality factor 4-like protein 2 (Fragment)"	Q5JXX2	Q5JXX2_HUMAN	Mortality factor 4-like protein 2	MORF4L2	Homo sapiens (Human)	auto	
"Q6DN12	Multiple C2 and transmembrane domain-containing protein 2"	Q6DN12	MCTP2_HUMAN	Multiple C2 and transmembrane domain-containing protein 2	MCTP2	Homo sapiens (Human)	auto	
"Q9BQG0	Myb-binding protein 1A"	Q9BQG0	MBB1A_HUMAN	Myb-binding protein 1A	MYBBP1A P160	Homo sapiens (Human)	auto	
"Q15746	Myosin light chain kinase, smooth muscle"	Q15746	MYLK_HUMAN	Myosin light chain kinase, smooth muscle (MLCK) (smMLCK) (EC 2.7.11.18) (Kinase-related protein (KRP)) (Telokin)	MYLK MLCK MLCK1 MYLK1	Homo sapiens (Human)	auto	
"P35579	Myosin-9"	P35579	MYH9_HUMAN	Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A (NMMHC-A)) (Non-muscle myosin heavy chain IIa (NMMHC II-a) (NMMHC-IIA))	MYH9	Homo sapiens (Human)	auto	
"Q9Y2A7	Nck-associated protein 1"	Q9Y2A7	NCKP1_HUMAN	Nck-associated protein 1 (NAP 1) (Membrane-associated protein HEM-2) (p125Nap1)	NCKAP1 HEM2 KIAA0587 NAP1	Homo sapiens (Human)	auto	
"A0A5H1ZRP4	Negative elongation factor B"	A0A5H1ZRP4	A0A5H1ZRP4_HUMAN	Negative elongation factor B	NELFB	Homo sapiens (Human)	auto	
"Q8NF91	Nesprin-1"	Q8NF91	SYNE1_HUMAN	Nesprin-1 (Enaptin) (KASH domain-containing protein 1 (KASH1)) (Myocyte nuclear envelope protein 1 (Myne-1)) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1 (Syne-1))	SYNE1 C6orf98 KIAA0796 KIAA1262 KIAA1756 MYNE1	Homo sapiens (Human)	auto	
"Q09666	Neuroblast differentiation-associated protein AHNAK"	Q09666	AHNK_HUMAN	Neuroblast differentiation-associated protein AHNAK (Desmoyokin)	AHNAK PM227	Homo sapiens (Human)	auto	
"Q8N5F7	NF-kappa-B-activating protein"	Q8N5F7	NKAP_HUMAN	NF-kappa-B-activating protein	NKAP	Homo sapiens (Human)	auto	
"O75376	Nuclear receptor corepressor 1"	O75376	NCOR1_HUMAN	Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)	NCOR1 KIAA1047	Homo sapiens (Human)	auto	
"Q7Z3B4	Nucleoporin p54"	Q7Z3B4	NUP54_HUMAN	Nucleoporin p54 (54 kDa nucleoporin)	NUP54	Homo sapiens (Human)	auto	
