From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
"P33897	ATP-binding cassette sub-family D member 1"	P33897	ABCD1_HUMAN	ATP-binding cassette sub-family D member 1 (EC 3.1.2.-) (EC 7.6.2.-) (Adrenoleukodystrophy protein (ALDP))	ABCD1 ALD	Homo sapiens (Human)	auto	
"Q8NE71	ATP-binding cassette sub-family F member 1"	Q8NE71	ABCF1_HUMAN	ATP-binding cassette sub-family F member 1 (ATP-binding cassette 50) (TNF-alpha-stimulated ABC protein)	ABCF1 ABC50	Homo sapiens (Human)	auto	
"Q9H2U1	ATP-dependent DNA/RNA helicase DHX36"	Q9H2U1	DHX36_HUMAN	ATP-dependent DNA/RNA helicase DHX36 (EC 3.6.4.12) (EC 3.6.4.13) (DEAD/H box polypeptide 36) (DEAH-box protein 36) (G4-resolvase-1 (G4R1)) (MLE-like protein 1) (RNA helicase associated with AU-rich element protein)	DHX36 DDX36 KIAA1488 MLEL1 RHAU	Homo sapiens (Human)	auto	
"F8WCU9	AT-rich interactive domain-containing protein 2 (Fragment)"	F8WCU9	F8WCU9_HUMAN	AT-rich interactive domain-containing protein 2 (BRG1-associated factor 200) (Zinc finger protein with activation potential) (Zipzap/p200)	ARID2	Homo sapiens (Human)	auto	
"Q9NR09	Baculoviral IAP repeat-containing protein 6"	Q9NR09	BIRC6_HUMAN	Dual E2 ubiquitin-conjugating enzyme/E3 ubiquitin-protein ligase BIRC6 (EC 2.3.2.24) (BIR repeat-containing ubiquitin-conjugating enzyme (BRUCE)) (Baculoviral IAP repeat-containing protein 6) (Ubiquitin-conjugating BIR domain enzyme apollon (APOLLON))	BIRC6 KIAA1289	Homo sapiens (Human)	auto	
"Q9NYF8	Bcl-2-associated transcription factor 1"	Q9NYF8	BCLF1_HUMAN	Bcl-2-associated transcription factor 1 (Btf) (BCLAF1 and THRAP3 family member 1)	BCLAF1 BTF KIAA0164	Homo sapiens (Human)	auto	
"P13929	Beta-enolase"	P13929	ENOB_HUMAN	Beta-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 3) (Muscle-specific enolase (MSE)) (Skeletal muscle enolase)	ENO3	Homo sapiens (Human)	auto	
"Q53HL2	Borealin"	Q53HL2	BOREA_HUMAN	Borealin (Cell division cycle-associated protein 8) (Dasra-B (hDasra-B)) (Pluripotent embryonic stem cell-related gene 3 protein)	CDCA8 PESCRG3	Homo sapiens (Human)	auto	
"Q9UHR4	Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1"	Q9UHR4	BI2L1_HUMAN	BAR/IMD domain-containing adapter protein 2-like 1 (Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 (BAI1-associated protein 2-like protein 1)) (Insulin receptor tyrosine kinase substrate)	BAIAP2L1 IRTKS	Homo sapiens (Human)	auto	
"Q9H6U6	Breast carcinoma-amplified sequence 3"	Q9H6U6	BCAS3_HUMAN	BCAS3 microtubule associated cell migration factor (Breast carcinoma-amplified sequence 3) (GAOB1)	BCAS3	Homo sapiens (Human)	auto	
"P16152	Carbonyl reductase [NADPH] 1"	P16152	CBR1_HUMAN	Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (15-hydroxyprostaglandin dehydrogenase [NADP(+)] (EC 1.1.1.196) (EC 1.1.1.197)) (20-beta-hydroxysteroid dehydrogenase) (Alcohol dehydrogenase [NAD(P)+] CBR1 (EC 1.1.1.71)) (NADPH-dependent carbonyl reductase 1) (Prostaglandin 9-ketoreductase (PG-9-KR)) (Prostaglandin-E(2) 9-reductase (EC 1.1.1.189)) (Short chain dehydrogenase/reductase family 21C member 1)	CBR1 CBR CRN SDR21C1	Homo sapiens (Human)	auto	
"A0A096LP69	CD99 antigen"	A0A096LP69	A0A096LP69_HUMAN	CD99 molecule (Xg blood group)	CD99	Homo sapiens (Human)	auto	
"Q96SN8	CDK5 regulatory subunit-associated protein 2"	Q96SN8	CK5P2_HUMAN	CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48) (Centrosome-associated protein 215)	CDK5RAP2 CEP215 KIAA1633	Homo sapiens (Human)	auto	
"Q99715	Collagen alpha-1(XII) chain"	Q99715	COCA1_HUMAN	Collagen alpha-1(XII) chain	COL12A1 COL12A1L	Homo sapiens (Human)	auto	
"Q9NZB2	Constitutive coactivator of PPAR-gamma-like protein 1"	Q9NZB2	F120A_HUMAN	Constitutive coactivator of PPAR-gamma-like protein 1 (Oxidative stress-associated SRC activator) (Protein FAM120A)	FAM120A C9orf10 KIAA0183 OSSA	Homo sapiens (Human)	auto	
"Q5T3F8	CSC1-like protein 2"	Q5T3F8	TM63B_HUMAN	Mechanosensitive cation channel TMEM63B (Transmembrane protein 63B (hTMEM63B))	TMEM63B C6orf110	Homo sapiens (Human)	auto	
"Q13363	C-terminal-binding protein 1"	Q13363	CTBP1_HUMAN	C-terminal-binding protein 1 (CtBP1) (EC 1.1.1.-)	CTBP1 CTBP	Homo sapiens (Human)	auto	
"Q9NRF8	CTP synthase 2"	Q9NRF8	PYRG2_HUMAN	CTP synthase 2 (EC 6.3.4.2) (CTP synthetase 2) (UTP--ammonia ligase 2)	CTPS2	Homo sapiens (Human)	auto	
"Q7L576	Cytoplasmic FMR1-interacting protein 1"	Q7L576	CYFP1_HUMAN	Cytoplasmic FMR1-interacting protein 1 (Specifically Rac1-associated protein 1 (Sra-1)) (p140sra-1)	CYFIP1 KIAA0068	Homo sapiens (Human)	auto	
"E7EVJ5	Cytoplasmic FMR1-interacting protein"	E7EVJ5	E7EVJ5_HUMAN	Cytoplasmic FMR1-interacting protein	CYFIP2	Homo sapiens (Human)	auto	
"Q5VZ89	DENN domain-containing protein 4C"	Q5VZ89	DEN4C_HUMAN	DENN domain-containing protein 4C	DENND4C C9orf55 C9orf55B	Homo sapiens (Human)	auto	
"Q9Y315	Deoxyribose-phosphate aldolase"	Q9Y315	DEOC_HUMAN	Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase (Deoxyriboaldolase))	DERA	Homo sapiens (Human)	auto	
"P15924	Desmoplakin"	P15924	DESP_HUMAN	Desmoplakin (DP) (250/210 kDa paraneoplastic pemphigus antigen)	DSP	Homo sapiens (Human)	auto	
"A6NML8	Diaphanous homolog 2 (Drosophila), isoform CRA_c"	O60879	DIAP2_HUMAN	Protein diaphanous homolog 2 (Diaphanous-related formin-2)	DIAPH2 DIA	Homo sapiens (Human)	user-reviewed	
"Q99615	DnaJ homolog subfamily C member 7"	Q99615	DNJC7_HUMAN	DnaJ homolog subfamily C member 7 (Tetratricopeptide repeat protein 2 (TPR repeat protein 2))	DNAJC7 TPR2 TTC2	Homo sapiens (Human)	auto	
"Q96M86	Dynein heavy chain domain-containing protein 1"	Q96M86	DNHD1_HUMAN	Dynein heavy chain domain-containing protein 1 (Coiled-coil domain-containing protein 35) (Dynein heavy chain domain 1-like protein)	DNHD1 C11orf47 CCDC35 DHCD1 DNHD1L	Homo sapiens (Human)	auto	
"Q7Z6Z7	E3 ubiquitin-protein ligase HUWE1"	Q7Z6Z7	HUWE1_HUMAN	E3 ubiquitin-protein ligase HUWE1 (EC 2.3.2.26) (ARF-binding protein 1 (ARF-BP1)) (HECT, UBA and WWE domain-containing protein 1) (HECT-type E3 ubiquitin transferase HUWE1) (Homologous to E6AP carboxyl terminus homologous protein 9 (HectH9)) (Large structure of UREB1 (LASU1)) (Mcl-1 ubiquitin ligase E3 (Mule)) (Upstream regulatory element-binding protein 1 (URE-B1) (URE-binding protein 1))	HUWE1 KIAA0312 KIAA1578 UREB1	Homo sapiens (Human)	auto	
"O94822	E3 ubiquitin-protein ligase listerin"	O94822	LTN1_HUMAN	E3 ubiquitin-protein ligase listerin (EC 2.3.2.27) (RING finger protein 160) (RING-type E3 ubiquitin transferase listerin) (Zinc finger protein 294)	LTN1 C21orf10 C21orf98 KIAA0714 RNF160 ZNF294	Homo sapiens (Human)	auto	
"A0A590UJW8	E3 ubiquitin-protein ligase"	A0A590UJW8	A0A590UJW8_HUMAN	E3 ubiquitin-protein ligase (EC 2.3.2.26)	ITCH	Homo sapiens (Human)	auto	
"A0A0A0MTR7	E3 ubiquitin-protein ligase RNF213"	A0A0A0MTR7	A0A0A0MTR7_HUMAN	E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (E3 ubiquitin-lipopolysaccharide ligase RNF213) (Mysterin) (RING finger protein 213)	RNF213	Homo sapiens (Human)	auto	
"P68104	Elongation factor 1-alpha 1"	P68104	EF1A1_HUMAN	Elongation factor 1-alpha 1 (EF-1-alpha-1) (EC 3.6.5.-) (Elongation factor Tu (EF-Tu)) (Eukaryotic elongation factor 1 A-1 (eEF1A-1)) (Leukocyte receptor cluster member 7)	EEF1A1 EEF1A EF1A LENG7	Homo sapiens (Human)	auto	
"Q05639	Elongation factor 1-alpha 2"	Q05639	EF1A2_HUMAN	Elongation factor 1-alpha 2 (EF-1-alpha-2) (EC 3.6.5.-) (Eukaryotic elongation factor 1 A-2 (eEF1A-2)) (Statin-S1)	EEF1A2 EEF1AL STN	Homo sapiens (Human)	auto	
