From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
"Rho GDP-dissociation inhibitor 2	RhoGDI2"	P52566	GDIR2_HUMAN	Rho GDP-dissociation inhibitor 2 (Ly-GDI) (Rho-GDI beta)	ARHGDIB GDIA2 GDID4 RAP1GN1	Homo sapiens (Human)	user-reviewed	
"Far upstream element-binding protein 2	FUBP2"	Q92945	FUBP2_HUMAN	Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein (KSRP)) (p75)	KHSRP FUBP2	Homo sapiens (Human)	auto	
