From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
NONO	Q15233	NONO_HUMAN	Non-POU domain-containing octamer-binding protein (NonO protein) (54 kDa nuclear RNA- and DNA-binding protein (p54(nrb)) (p54nrb)) (55 kDa nuclear protein (NMT55)) (DNA-binding p52/p100 complex, 52 kDa subunit)	NONO NRB54	Homo sapiens (Human)	auto	
P43354	P43354	NR4A2_HUMAN	Nuclear receptor subfamily 4 group A member 2 (Immediate-early response protein NOT) (Orphan nuclear receptor NURR1) (Transcriptionally-inducible nuclear receptor)	NR4A2 NOT NURR1 TINUR	Homo sapiens (Human)	auto	
NUP205	Q92621	NU205_HUMAN	Nuclear pore complex protein Nup205 (205 kDa nucleoporin) (Nucleoporin Nup205)	NUP205 C7orf14 KIAA0225	Homo sapiens (Human)	auto	
PAICS	P22234	PUR6_HUMAN	Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase (PAICS)	PAICS ADE2 AIRC PAIS	Homo sapiens (Human)	auto	
P09874	P09874	PARP1_HUMAN	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1 (ARTD1)) (DNA ADP-ribosyltransferase PARP1 (EC 2.4.2.-)) (NAD(+) ADP-ribosyltransferase 1 (ADPRT 1)) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1 (EC 2.4.2.-))	PARP1 ADPRT PPOL	Homo sapiens (Human)	auto	
PELI1	Q96FA3	PELI1_HUMAN	E3 ubiquitin-protein ligase pellino homolog 1 (Pellino-1) (EC 2.3.2.27) (Pellino-related intracellular-signaling molecule) (RING-type E3 ubiquitin transferase pellino homolog 1)	PELI1 PRISM	Homo sapiens (Human)	auto	
PGM3	O95394	AGM1_HUMAN	Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase) (Phosphoglucomutase-3 (PGM 3))	PGM3 AGM1	Homo sapiens (Human)	auto	
Q92576	Q92576	PHF3_HUMAN	PHD finger protein 3	PHF3 KIAA0244	Homo sapiens (Human)	auto	
PKM	P14618	KPYM_HUMAN	Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein (CTHBP)) (Opa-interacting protein 3 (OIP-3)) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Threonine-protein kinase PKM2 (EC 2.7.11.1)) (Thyroid hormone-binding protein 1 (THBP1)) (Tumor M2-PK) (Tyrosine-protein kinase PKM2 (EC 2.7.10.2)) (p58)	PKM OIP3 PK2 PK3 PKM2	Homo sapiens (Human)	auto	
PLEC	Q15149	PLEC_HUMAN	Plectin (PCN) (PLTN) (Hemidesmosomal protein 1 (HD1)) (Plectin-1)	PLEC PLEC1	Homo sapiens (Human)	auto	
Q8IVE3	Q8IVE3	PKHH2_HUMAN	Pleckstrin homology domain-containing family H member 2	PLEKHH2 KIAA2028	Homo sapiens (Human)	auto	
A5A3E0	A5A3E0	POTEF_HUMAN	POTE ankyrin domain family member F (ANKRD26-like family C member 1B) (Chimeric POTE-actin protein)	POTEF A26C1B	Homo sapiens (Human)	auto	
PPP2CA	P67775	PP2AA_HUMAN	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform (PP2A-alpha) (EC 3.1.3.16) (Replication protein C (RP-C))	PPP2CA	Homo sapiens (Human)	auto	
P60510	P60510	PP4C_HUMAN	Serine/threonine-protein phosphatase 4 catalytic subunit (PP4C) (Pp4) (EC 3.1.3.16) (Protein phosphatase X (PP-X))	PPP4C PPP4 PPX	Homo sapiens (Human)	auto	
Q4J6C6	Q4J6C6	PPCEL_HUMAN	Prolyl endopeptidase-like (EC 3.4.21.-) (Prolylendopeptidase-like)	PREPL KIAA0436	Homo sapiens (Human)	auto	
O94906	O94906	PRP6_HUMAN	Pre-mRNA-processing factor 6 (Androgen receptor N-terminal domain-transactivating protein 1 (ANT-1)) (PRP6 homolog) (U5 snRNP-associated 102 kDa protein (U5-102 kDa protein))	PRPF6 C20orf14	Homo sapiens (Human)	auto	
PSMB7	Q99436	PSB7_HUMAN	Proteasome subunit beta type-7 (EC 3.4.25.1) (Macropain chain Z) (Multicatalytic endopeptidase complex chain Z) (Proteasome subunit Z) (Proteasome subunit beta-2 (beta-2))	PSMB7 Z	Homo sapiens (Human)	auto	
Q8TB72	Q8TB72	PUM2_HUMAN	Pumilio homolog 2 (Pumilio-2)	PUM2 KIAA0235 PUMH2	Homo sapiens (Human)	auto	
RAI14	Q9P0K7	RAI14_HUMAN	Ankycorbin (Ankyrin repeat and coiled-coil structure-containing protein) (Novel retinal pigment epithelial cell protein) (Retinoic acid-induced protein 14)	RAI14 KIAA1334 NORPEG	Homo sapiens (Human)	auto	
O14827	O14827	RGRF2_HUMAN	Ras-specific guanine nucleotide-releasing factor 2 (Ras-GRF2) (Ras guanine nucleotide exchange factor 2)	RASGRF2 GRF2	Homo sapiens (Human)	auto	
Q9NWB1	Q9NWB1	RFOX1_HUMAN	RNA binding protein fox-1 homolog 1 (Ataxin-2-binding protein 1) (Fox-1 homolog A) (Hexaribonucleotide-binding protein 1)	RBFOX1 A2BP A2BP1 FOX1 HRNBP1	Homo sapiens (Human)	auto	
Q9NWS8	Q9NWS8	RMND1_HUMAN	Required for meiotic nuclear division protein 1 homolog	RMND1 C6orf96	Homo sapiens (Human)	auto	
RNH1	P13489	RINI_HUMAN	Ribonuclease inhibitor (Placental ribonuclease inhibitor (Placental RNase inhibitor)) (Ribonuclease/angiogenin inhibitor 1 (RAI))	RNH1 PRI RNH	Homo sapiens (Human)	auto	
