From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
"60S ribosomal protein L13a	RPL13A"	P40429	RL13A_HUMAN	Large ribosomal subunit protein uL13 (23 kDa highly basic protein) (60S ribosomal protein L13a)	RPL13A	Homo sapiens (Human)	auto	
"60S ribosomal protein L22	RPL22"	P35268	RL22_HUMAN	Large ribosomal subunit protein eL22 (60S ribosomal protein L22) (EBER-associated protein (EAP)) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15)	RPL22	Homo sapiens (Human)	auto	
"60S ribosomal protein L27	RPL27"	P61353	RL27_HUMAN	Large ribosomal subunit protein eL27 (60S ribosomal protein L27)	RPL27	Homo sapiens (Human)	auto	
"60S Ribosomal protein L27a	RPL27A"	P46776	RL27A_HUMAN	Large ribosomal subunit protein uL15 (60S ribosomal protein L27a)	RPL27A	Homo sapiens (Human)	auto	
"60S ribosomal protein L30	RPL30"	P62888	RL30_HUMAN	Large ribosomal subunit protein eL30 (60S ribosomal protein L30)	RPL30	Homo sapiens (Human)	auto	
"60S ribosomal protein L31	RPL31"	P62899	RL31_HUMAN	Large ribosomal subunit protein eL31 (60S ribosomal protein L31)	RPL31	Homo sapiens (Human)	auto	
"60S ribosomal protein L34	RPL34"	P49207	RL34_HUMAN	Large ribosomal subunit protein eL34 (60S ribosomal protein L34)	RPL34	Homo sapiens (Human)	auto	
"116 kDa U5 small nuclear ribonucleoprotein component	EFTUD2"	Q15029	U5S1_HUMAN	116 kDa U5 small nuclear ribonucleoprotein component (Elongation factor Tu GTP-binding domain-containing protein 2) (SNU114 homolog (hSNU114)) (U5 snRNP-specific protein, 116 kDa (U5-116 kDa))	EFTUD2 KIAA0031 SNRP116	Homo sapiens (Human)	auto	
"Acidic leucine-rich nuclear phosphoprotein 32	ANP32A"	P39687	AN32A_HUMAN	Acidic leucine-rich nuclear phosphoprotein 32 family member A (Acidic nuclear phosphoprotein pp32 (pp32)) (Leucine-rich acidic nuclear protein (LANP)) (Mapmodulin) (Potent heat-stable protein phosphatase 2A inhibitor I1PP2A) (Putative HLA-DR-associated protein I (PHAPI))	ANP32A C15orf1 LANP MAPM PHAP1	Homo sapiens (Human)	auto	
"Actin related protein 2/3 complex subunit 1A	ARPC1A"	Q92747	ARC1A_HUMAN	Actin-related protein 2/3 complex subunit 1A (SOP2-like protein)	ARPC1A SOP2L	Homo sapiens (Human)	auto	
"Actin related protein 2/3 complex, 1B, 41kDa	ARPC1B"	O15143	ARC1B_HUMAN	Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC)	ARPC1B ARC41	Homo sapiens (Human)	auto	
"Actin-related protein 2/3 complex subunit 2	ARPC2"	O15144	ARPC2_HUMAN	Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit (p34-ARC))	ARPC2 ARC34	Homo sapiens (Human)	auto	
"Actin-related protein 2/3 complex subunit 4	ARPC4"	P59998	ARPC4_HUMAN	Actin-related protein 2/3 complex subunit 4 (Arp2/3 complex 20 kDa subunit (p20-ARC))	ARPC4 ARC20	Homo sapiens (Human)	auto	
"Actin-related protein 2/3 complex subunit 5	ARPC5"	O15511	ARPC5_HUMAN	Actin-related protein 2/3 complex subunit 5 (Arp2/3 complex 16 kDa subunit (p16-ARC))	ARPC5 ARC16	Homo sapiens (Human)	auto	
"Actin-related protein 3	ACTR3"	P61158	ARP3_HUMAN	Actin-related protein 3 (Actin-like protein 3)	ACTR3 ARP3	Homo sapiens (Human)	auto	
"Adenosylhomocysteinase	AHCY"	P23526	SAHH_HUMAN	Adenosylhomocysteinase (AdoHcyase) (EC 3.13.2.1) (S-adenosyl-L-homocysteine hydrolase)	AHCY SAHH	Homo sapiens (Human)	auto	
"S-Adenosylmethionine synthase isoform type-2	MAT2A"	P31153	METK2_HUMAN	S-adenosylmethionine synthase isoform type-2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2 (MAT 2)) (Methionine adenosyltransferase II (MAT-II))	MAT2A AMS2 MATA2	Homo sapiens (Human)	auto	
"ADP-ribose pyrophosphatase, mitochondrial	NUDT9"	Q9BW91	NUDT9_HUMAN	ADP-ribose pyrophosphatase (EC 3.6.1.13) (ADP-ribose diphosphatase) (ADP-ribose phosphohydrolase) (Adenosine diphosphoribose pyrophosphatase (ADPR-PPase)) (Nucleoside diphosphate-linked moiety X motif 9 (Nudix motif 9))	NUDT9 NUDT10	Homo sapiens (Human)	auto	
"Alpha-actinin-4	ACTN4"	O43707	ACTN4_HUMAN	Alpha-actinin-4 (Non-muscle alpha-actinin 4)	ACTN4	Homo sapiens (Human)	auto	
"Annexin A2	ANXA2"	P07355	ANXA2_HUMAN	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV (PAP-IV)) (Protein I) (p36)	ANXA2 ANX2 ANX2L4 CAL1H LPC2D	Homo sapiens (Human)	auto	
"Annexin A2-like protein	ANXA2P2"	A6NMY6	AXA2L_HUMAN	Putative annexin A2-like protein (Annexin A2 pseudogene 2) (Lipocortin II pseudogene)	ANXA2P2 ANX2L2 ANX2P2 LPC2B	Homo sapiens (Human)	auto	
"Arginine--tRNA ligase	RARS"	P54136	SYRC_HUMAN	Arginine--tRNA ligase, cytoplasmic (EC 6.1.1.19) (Arginyl-tRNA synthetase (ArgRS))	RARS1 RARS	Homo sapiens (Human)	auto	
"Asparagine synthetase [glutamine-hydrolyzing]	ASNS"	P08243	ASNS_HUMAN	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Cell cycle control protein TS11) (Glutamine-dependent asparagine synthetase)	ASNS TS11	Homo sapiens (Human)	auto	
"Asparagine--tRNA ligase, cytoplasmic	NARS"	O43776	SYNC_HUMAN	Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase (AsnRS)) (Asparaginyl-tRNA synthetase 1)	NARS1 NARS NRS	Homo sapiens (Human)	auto	
"Aspartate-tRNA ligase, cytoplasmic	DARS"	P14868	SYDC_HUMAN	Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase (AspRS)) (Cell proliferation-inducing gene 40 protein)	DARS1 DARS	Homo sapiens (Human)	auto	
"Astrocytic phosphoprotein PEA-15	PEA15"	Q15121	PEA15_HUMAN	Astrocytic phosphoprotein PEA-15 (15 kDa phosphoprotein enriched in astrocytes) (Phosphoprotein enriched in diabetes (PED))	PEA15	Homo sapiens (Human)	auto	
"ATP-citrate synthase	ACLY"	P53396	ACLY_HUMAN	ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase (ACL)) (Citrate cleavage enzyme)	ACLY	Homo sapiens (Human)	auto	
"ATP-dependent 6-phosphofructokinase, platelet type	PFKP"	Q01813	PFKAP_HUMAN	ATP-dependent 6-phosphofructokinase, platelet type (ATP-PFK) (PFK-P) (EC 2.7.1.11) (6-phosphofructokinase type C) (Phosphofructo-1-kinase isozyme C (PFK-C)) (Phosphohexokinase)	PFKP PFKF	Homo sapiens (Human)	auto	
"ATP-dependent RNA helicase A	DHX9"	Q08211	DHX9_HUMAN	ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (DExH-box helicase 9) (Leukophysin (LKP)) (Nuclear DNA helicase II (NDH II)) (RNA helicase A)	DHX9 DDX9 LKP NDH2	Homo sapiens (Human)	auto	
"Bifunctional glutamate/proline-tRNA ligase	EPRS"	P07814	SYEP_HUMAN	Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase)	EPRS1 EPRS GLNS PARS QARS QPRS	Homo sapiens (Human)	auto	
"Calreticulin	CALR"	P27797	CALR_HUMAN	Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60 (ERp60)) (HACBP) (grp60)	CALR CRTC	Homo sapiens (Human)	auto	
"Casein kinase II subunit alpha	CSNK2A1"	P68400	CSK21_HUMAN	Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1)	CSNK2A1 CK2A1	Homo sapiens (Human)	auto	
"Casein kinase II subunit alpha 3	CSNK2A3"	Q8NEV1	CSK23_HUMAN	Casein kinase II subunit alpha 3 (CK II alpha 3) (EC 2.7.11.1) (Casein kinase II alpha 1 polypeptide pseudogene)	CSNK2A3 CSNK2A1P	Homo sapiens (Human)	auto	
"Cathepsin Z	CTSZ"	Q9UBR2	CATZ_HUMAN	Cathepsin Z (EC 3.4.18.1) (Cathepsin P) (Cathepsin X)	CTSZ	Homo sapiens (Human)	auto	
"Coactosin-like protein	COTL1"	Q14019	COTL1_HUMAN	Coactosin-like protein	COTL1 CLP	Homo sapiens (Human)	auto	
"Cytosolic acyl coenzyme A thioester hydrolase	ACOT7"	O00154	BACH_HUMAN	Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase (BACH) (hBACH)) (CTE-IIa (CTE-II)) (Long chain acyl-CoA thioester hydrolase)	ACOT7 BACH	Homo sapiens (Human)	auto	
"Dihydropteridine reductase	QDPR"	P09417	DHPR_HUMAN	Dihydropteridine reductase (EC 1.5.1.34) (HDHPR) (Quinoid dihydropteridine reductase) (Short chain dehydrogenase/reductase family 33C member 1)	QDPR DHPR SDR33C1	Homo sapiens (Human)	auto	
"Dihydropyrimidinase-related protein 2	DPYSL2"	Q16555	DPYL2_HUMAN	Dihydropyrimidinase-related protein 2 (DRP-2) (Collapsin response mediator protein 2 (CRMP-2)) (N2A3) (Unc-33-like phosphoprotein 2 (ULIP-2))	DPYSL2 CRMP2 ULIP2	Homo sapiens (Human)	auto	
"DNA damage-binding protein 1	DDB1"	Q16531	DDB1_HUMAN	DNA damage-binding protein 1 (DDB p127 subunit) (DNA damage-binding protein a (DDBa)) (Damage-specific DNA-binding protein 1) (HBV X-associated protein 1 (XAP-1)) (UV-damaged DNA-binding factor) (UV-damaged DNA-binding protein 1 (UV-DDB 1)) (XPE-binding factor (XPE-BF)) (Xeroderma pigmentosum group E-complementing protein (XPCe))	DDB1 XAP1	Homo sapiens (Human)	auto	
"DNA topoisomerase 2-alpha	TOP2A"	P11388	TOP2A_HUMAN	DNA topoisomerase 2-alpha (EC 5.6.2.2) (DNA topoisomerase II, alpha isozyme)	TOP2A TOP2	Homo sapiens (Human)	auto	
"Electron transfer flavoprotein subunit α, mitochondrial	ETFA"	P13804	ETFA_HUMAN	Electron transfer flavoprotein subunit alpha, mitochondrial (Alpha-ETF)	ETFA	Homo sapiens (Human)	auto	
"Elongin B	ELOB"	Q15370	ELOB_HUMAN	Elongin-B (EloB) (Elongin 18 kDa subunit) (RNA polymerase II transcription factor SIII subunit B) (SIII p18) (Transcription elongation factor B polypeptide 2)	ELOB TCEB2	Homo sapiens (Human)	auto	
"γ-Enolase	ENO2"	P09104	ENOG_HUMAN	Gamma-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 2) (Neural enolase) (Neuron-specific enolase (NSE))	ENO2	Homo sapiens (Human)	auto	
Eukaryotic translation initiation factor 3 subunit F	O00303	EIF3F_HUMAN	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f (EC 3.4.19.12)) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)	EIF3F EIF3S5	Homo sapiens (Human)	auto	
"Fascin	FSCN1"	Q16658	FSCN1_HUMAN	Fascin (55 kDa actin-bundling protein) (Singed-like protein) (p55)	FSCN1 FAN1 HSN SNL	Homo sapiens (Human)	auto	
"Filamin-B	FLNB"	O75369	FLNB_HUMAN	Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1 (Fh1)) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein (Truncated ABP))	FLNB FLN1L FLN3 TABP TAP	Homo sapiens (Human)	auto	
"Filamin-C	FLNC"	Q14315	FLNC_HUMAN	Filamin-C (FLN-C) (FLNc) (ABP-280-like protein) (ABP-L) (Actin-binding-like protein) (Filamin-2) (Gamma-filamin)	FLNC ABPL FLN2	Homo sapiens (Human)	auto	
"Fructose-bisphosphate aldolase A	ALDOA"	P04075	ALDOA_HUMAN	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	ALDOA ALDA	Homo sapiens (Human)	auto	
"Fumarate hydratase, mitochondrial	FH"	P07954	FUMH_HUMAN	Fumarate hydratase, mitochondrial (Fumarase) (HsFH) (EC 4.2.1.2)	FH	Homo sapiens (Human)	auto	
"Galectin-1	LGALS1"	P09382	LEG1_HUMAN	Galectin-1 (Gal-1) (14 kDa laminin-binding protein (HLBP14)) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (HBL) (HPL) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (Putative MAPK-activating protein PM12) (S-Lac lectin 1)	LGALS1	Homo sapiens (Human)	auto	
"Glucose-6-phosphate dehydrogenase	G6PDH"	P11413	G6PD_HUMAN	Glucose-6-phosphate 1-dehydrogenase	G6PD	Homo sapiens (Human)	user-reviewed	Entry kept - G6PD is the only candidate. Site numbering does not reconcile: position 458 is Leu on canonical P11413-1 (515 aa) and the nearest Arg is R459, off by one; Arg count is 34 vs the declared 32. P11413 has Short and Long isoforms, so the paper's numbering likely follows a different one. Assignment unaffected.
"Glutamine--tRNA synthetase	QARS"	P47897	SYQ_HUMAN	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase (GlnRS))	QARS1 QARS	Homo sapiens (Human)	auto	
"Glutathione S-transferase omega 1	GSTO1"	P78417	GSTO1_HUMAN	Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1 (GSTO 1-1)) (Glutathione-dependent dehydroascorbate reductase (EC 1.8.5.1)) (Monomethylarsonic acid reductase (MMA(V) reductase) (EC 1.20.4.2)) (S-(Phenacyl)glutathione reductase (SPG-R))	GSTO1 GSTTLP28	Homo sapiens (Human)	auto	
"Glycine-tRNA ligase	GARS"	P41250	GARS_HUMAN	Glycine--tRNA ligase (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase (Ap4A synthetase) (EC 2.7.7.-)) (Glycyl-tRNA synthetase (GlyRS)) (Glycyl-tRNA synthetase 1)	GARS1 GARS	Homo sapiens (Human)	auto	
"Heat shock protein beta-1	HSPB1"	P04792	HSPB1_HUMAN	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein (HSP 27)) (Heat shock protein family B member 1) (Stress-responsive protein 27 (SRP27))	HSPB1 HSP27 HSP28	Homo sapiens (Human)	auto	
"Heterogeneous nuclear ribonucleoprotein A/B	HNRNPAB"	Q99729	ROAA_HUMAN	Heterogeneous nuclear ribonucleoprotein A/B (hnRNP A/B) (APOBEC1-binding protein 1 (ABBP-1))	HNRNPAB ABBP1 HNRPAB	Homo sapiens (Human)	auto	
"Heterogeneous nuclear ribonucleoproteins A2/B1	HNRNPA2B1"	P22626	ROA2_HUMAN	Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1)	HNRNPA2B1 HNRPA2B1	Homo sapiens (Human)	auto	
"Heterogeneous nuclear ribonucleoprotein K	HNRPK"	P61978	HNRPK_HUMAN	Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (Transformation up-regulated nuclear protein (TUNP))	HNRNPK HNRPK	Homo sapiens (Human)	auto	
"Heterogeneous nuclear ribonucleoprotein Q	SYNCRIP"	O60506	HNRPQ_HUMAN	Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein (GRY-RBP)) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)	SYNCRIP HNRPQ NSAP1	Homo sapiens (Human)	auto	
"Heterogeneous nuclear ribonucleoprotein R	HNRPR"	O43390	HNRPR_HUMAN	Heterogeneous nuclear ribonucleoprotein R (hnRNP R)	HNRNPR HNRPR	Homo sapiens (Human)	auto	
"Heat shock 70 kDa protein 4	HSPA4"	P34932	HSP74_HUMAN	Heat shock 70 kDa protein 4 (HSP70RY) (Heat shock 70-related protein APG-2) (Heat shock protein family H member 2)	HSPA4 APG2 HSPH2	Homo sapiens (Human)	auto	
"Insulin-like growth factor 2 mRNA-binding protein 2	IF2B2"	Q9Y6M1	IF2B2_HUMAN	Insulin-like growth factor 2 mRNA-binding protein 2 (IGF2 mRNA-binding protein 2) (IMP-2) (Hepatocellular carcinoma autoantigen p62) (IGF-II mRNA-binding protein 2) (VICKZ family member 2)	IGF2BP2 IMP2 VICKZ2	Homo sapiens (Human)	auto	
"Interleukin enhancer-binding factor 2	ILF2"	Q12905	ILF2_HUMAN	Interleukin enhancer-binding factor 2 (Nuclear factor of activated T-cells 45 kDa)	ILF2 NF45	Homo sapiens (Human)	auto	
"Interleukin enhancer-binding factor 3	ILF3"	Q12906	ILF3_HUMAN	Interleukin enhancer-binding factor 3 (Double-stranded RNA-binding protein 76 (DRBP76)) (M-phase phosphoprotein 4 (MPP4)) (Nuclear factor associated with dsRNA (NFAR)) (Nuclear factor of activated T-cells 90 kDa (NF-AT-90)) (Translational control protein 80 (TCP80))	ILF3 DRBF MPHOSPH4 NF90	Homo sapiens (Human)	auto	
"Leucine-tRNA ligase, cytoplasmic	LARS"	Q9P2J5	SYLC_HUMAN	Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase (LeuRS) (cLRS))	LARS1 KIAA1352 LARS	Homo sapiens (Human)	auto	
"Lysine-tRNA ligase	KARS"	Q15046	SYK_HUMAN	Lysine--tRNA ligase (EC 2.7.7.-) (EC 6.1.1.6) (Lysyl-tRNA synthetase (LysRS))	KARS1 KARS KIAA0070	Homo sapiens (Human)	auto	
"Malate dehydrogenase, mitochondrial	MDH2"	P40926	MDHM_HUMAN	Malate dehydrogenase, mitochondrial (EC 1.1.1.37)	MDH2	Homo sapiens (Human)	auto	
"S-Methyl-5'-thioadenosine phosphorylase	MTAP"	Q13126	MTAP_HUMAN	S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase (MTA phosphorylase) (MTAP) (MTAPase))	MTAP MSAP	Homo sapiens (Human)	auto	
"Microtubule-associated protein 4, similar	B4DM10_HUMAN"	B4DM10	B4DM10_HUMAN	cDNA FLJ58263, highly similar to Microtubule-associated protein 4		Homo sapiens (Human)	auto	
"Multifunctional protein ADE2	PAICS"	P22234	PUR6_HUMAN	Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase (PAICS)	PAICS ADE2 AIRC PAIS	Homo sapiens (Human)	auto	
"Myosin-9	MYH9"	P35579	MYH9_HUMAN	Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A (NMMHC-A)) (Non-muscle myosin heavy chain IIa (NMMHC II-a) (NMMHC-IIA))	MYH9	Homo sapiens (Human)	auto	
"Neutral alpha-glucosidase AB	GANAB"	Q14697	GANAB_HUMAN	Neutral alpha-glucosidase AB (EC 3.2.1.207) (Alpha-glucosidase 2) (Glucosidase II subunit alpha)	GANAB G2AN KIAA0088	Homo sapiens (Human)	auto	
"Nicotinamide phosphoribosyltransferase	NAMPT"	P43490	NAMPT_HUMAN	Nicotinamide phosphoribosyltransferase (NAmPRTase) (Nampt) (EC 2.4.2.12) (Pre-B-cell colony-enhancing factor 1 (Pre-B cell-enhancing factor)) (Visfatin)	NAMPT PBEF PBEF1	Homo sapiens (Human)	auto	
"Nicotinamide N-methyltransferase	NNMT"	P40261	NNMT_HUMAN	Nicotinamide N-methyltransferase (EC 2.1.1.1)	NNMT	Homo sapiens (Human)	auto	
"Nucleosome assembly protein 1-like 1	NAPIL1"	P55209	NP1L1_HUMAN	Nucleosome assembly protein 1-like 1 (Histone H2A-H2B chaperone NAP1L1) (NAP-1-related protein)	NAP1L1 NRP	Homo sapiens (Human)	user-reviewed	
"Nucleosome assembly protein 1-like 4	NAPIL4"	Q99733	NP1L4_HUMAN	Nucleosome assembly protein 1-like 4 (Histone chaperone NAP1L4) (Nucleosome assembly protein 2)	NAP1L4 NAP2	Homo sapiens (Human)	user-reviewed	
Nucleoside diphosphate kinase (NME1-NME2)	Q32Q12	Q32Q12_HUMAN	Nucleoside diphosphate kinase	NME1-NME2	Homo sapiens (Human)	user-reviewed	NME1-NME2 readthrough, as the label states. R113 is Arg here; NDKA and NDKB have Gly at 113 and only 8-9 Arg against the declared 16 (readthrough has 17).
Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1	Q9H1E3	NUCKS_HUMAN	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 (P1)	NUCKS1 NUCKS	Homo sapiens (Human)	auto	
"Peptidyl-prolyl cis-trans isomerase A	PPIA"	P62937	PPIA_HUMAN	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A)	PPIA CYPA	Homo sapiens (Human)	auto	
"Phosphatase 2A Inhibitor	I2PP2A"	Q01105	SET_HUMAN	Protein SET (HLA-DR-associated protein II) (Inhibitor of granzyme A-activated DNase) (PHAPII) (Phosphatase 2A inhibitor I2PP2A) (Template-activating factor I)	SET	Homo sapiens (Human)	user-reviewed	
"6-Phosphogluconate dehydrogenase, decarboxylating	PGD"	P52209	6PGD_HUMAN	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	PGD PGDH	Homo sapiens (Human)	auto	
"Phosphoglycerate mutase 1	PGAM1"	P18669	PGAM1_HUMAN	Phosphoglycerate mutase 1 (EC 5.4.2.11) (EC 5.4.2.4) (BPG-dependent PGAM 1) (Phosphoglycerate mutase isozyme B (PGAM-B))	PGAM1 PGAMA	Homo sapiens (Human)	auto	
"Glycogen phosphorylase	PYGB"	P11216	PYGB_HUMAN	Glycogen phosphorylase, brain form (EC 2.4.1.1)	PYGB	Homo sapiens (Human)	auto	
"Phosphoserine aminotransferase	PSAT1"	Q9Y617	SERC_HUMAN	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase (PSAT))	PSAT1 PSA	Homo sapiens (Human)	auto	
"Plastin-3	PLST"	P13797	PLST_HUMAN	Plastin-3 (T-fimbrin) (T-plastin)	PLS3	Homo sapiens (Human)	auto	
"Profilin-1	PROF1"	P07737	PROF1_HUMAN	Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I)	PFN1	Homo sapiens (Human)	auto	
"Prostaglandin reductase 1	PTGR1"	Q14914	PTGR1_HUMAN	Prostaglandin reductase 1 (PRG-1) (15-oxoprostaglandin 13-reductase (EC 1.3.1.48)) (Dithiolethione-inducible gene 1 protein (D3T-inducible gene 1 protein) (DIG-1)) (Leukotriene B4 12-hydroxydehydrogenase) (NAD(P)H-dependent alkenal/one oxidoreductase (EC 1.3.1.74))	PTGR1 LTB4DH	Homo sapiens (Human)	auto	
"26S protease regulatory subunit 4	PSMC1"	P62191	PRS4_HUMAN	26S proteasome regulatory subunit 4 (P26s4) (26S proteasome AAA-ATPase subunit RPT2) (Proteasome 26S subunit ATPase 1)	PSMC1	Homo sapiens (Human)	auto	
"Proteasome subunit A2	PSMA2"	P25787	PSA2_HUMAN	Proteasome subunit alpha type-2 (Macropain subunit C3) (Multicatalytic endopeptidase complex subunit C3) (Proteasome component C3) (Proteasome subunit alpha-2 (alpha-2))	PSMA2 HC3 PSC3	Homo sapiens (Human)	auto	
"Proteasome subunit A5	PSMA5"	P28066	PSA5_HUMAN	Proteasome subunit alpha type-5 (Macropain zeta chain) (Multicatalytic endopeptidase complex zeta chain) (Proteasome subunit alpha-5 (alpha-5)) (Proteasome zeta chain)	PSMA5	Homo sapiens (Human)	auto	
"Proteasome subunit B2	PSMB2"	P49721	PSB2_HUMAN	Proteasome subunit beta type-2 (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I) (Proteasome subunit beta-4 (beta-4))	PSMB2	Homo sapiens (Human)	auto	
"Proteasome subunit B3	PSMB3"	P49720	PSB3_HUMAN	Proteasome subunit beta type-3 (Proteasome chain 13) (Proteasome component C10-II) (Proteasome subunit beta-3 (beta-3)) (Proteasome theta chain)	PSMB3	Homo sapiens (Human)	auto	
"Proteasome subunit B4	PSMB4"	P28070	PSB4_HUMAN	Proteasome subunit beta type-4 (26 kDa prosomal protein (HsBPROS26) (PROS-26)) (Macropain beta chain) (Multicatalytic endopeptidase complex beta chain) (Proteasome beta chain) (Proteasome chain 3 (HsN3)) (Proteasome subunit beta-7 (beta-7))	PSMB4 PROS26	Homo sapiens (Human)	auto	
"Prothymosin alpha protein	PTMA"	P06454	PTMA_HUMAN	Prothymosin alpha	PTMA TMSA	Homo sapiens (Human)	auto	
"Purine nucleoside phosphorylase	PNPH"	P00491	PNPH_HUMAN	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)	PNP NP	Homo sapiens (Human)	auto	
"Isoleucine-tRNA ligase, cytoplasmic	IARS"	P41252	SYIC_HUMAN	Isoleucine--tRNA ligase, cytoplasmic (EC 6.1.1.5) (Isoleucyl-tRNA synthetase (IRS) (IleRS))	IARS1 IARS	Homo sapiens (Human)	auto	
"Ras-related protein Rab 1A	RAB1A"	P62820	RAB1A_HUMAN	Ras-related protein Rab-1A (EC 3.6.5.2) (YPT1-related protein)	RAB1A RAB1	Homo sapiens (Human)	auto	
"Ras-related protein Rab 1B	RAB1B"	Q9H0U4	RAB1B_HUMAN	Ras-related protein Rab-1B (EC 3.6.5.2)	RAB1B	Homo sapiens (Human)	auto	
"Receptor of activated protein C kinase 1	RACK1"	P63244	RACK1_HUMAN	Small ribosomal subunit protein RACK1 (Cell proliferation-inducing gene 21 protein) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Human lung cancer oncogene 7 protein (HLC-7)) (Receptor for activated C kinase) (Receptor for activated C kinase 1) (Receptor of activated protein C kinase 1)	RACK1 GNB2L1	Homo sapiens (Human)	auto	
"Rho GDP-dissociation inhibitor 1	ARHGD1A"	P52565	GDIR1_HUMAN	Rho GDP-dissociation inhibitor 1 (Rho-GDI alpha)	ARHGDIA GDIA1	Homo sapiens (Human)	user-reviewed	
"Serine/threonine-protein phosphatase PP1-alpha catalytic subunit	PPP1CA"	P62136	PP1A_HUMAN	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	PPP1CA PPP1A	Homo sapiens (Human)	auto	
"Serine/threonine-protein phosphatase PP1-beta catalytic subunit	PPP1CB"	P62140	PP1B_HUMAN	Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (PPP1CD) (EC 3.1.3.16) (EC 3.1.3.53)	PPP1CB	Homo sapiens (Human)	auto	
"Serine-tRNA ligase, cytoplasmic	SARS"	P49591	SYSC_HUMAN	Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase (SerRS)) (Seryl-tRNA(Ser/Sec) synthetase)	SARS1 SARS SERS	Homo sapiens (Human)	auto	
