# COMPREHENSIVE HUMAN CYTOPLASMIC RIBOSOMAL PROTEINS
# Total: 85 proteins
#
# Gene_Symbol | Unified_Name | UniProt_ID | Protein_Name | Subunit

## SMALL SUBUNIT (40S) - 35 proteins

RPL7         | uL30           | P18124     | Large ribosomal subunit protein uL30                         | 60S
RPL7A        | eL8            | P62424     | Large ribosomal subunit protein eL8                          | 60S
RPL8         | uL2            | P62917     | Large ribosomal subunit protein uL2                          | 60S
RPL9         | uL6            | P32969     | Large ribosomal subunit protein uL6                          | 60S
RPLP0        | uL10           | P05388     | Large ribosomal subunit protein uL10                         | 60S
RPLP1        | P1             | P05386     | Large ribosomal subunit protein P1                           | 60S
RPLP2        | P2             | P05387     | Large ribosomal subunit protein P2                           | 60S

## SPECIAL CASES - 1 protein

FAU          | eS30-ubiquitin | P62861     | Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein    | Special
